	DmPA_Lucas_cellpellets_IV4	DmPA_Lucas_cellpellets_IV5	DmPA_Lucas_cellpellets_IV6	DmPA_Lucas_cellpellets_IV10	DmPA_Lucas_cellpellets_IV11	DmPA_Lucas_cellpellets_IV12	DmPA_Lucas_cellpellets_IV22	DmPA_Lucas_cellpellets_IV23	DmPA_Lucas_cellpellets_IV24	DmPA_Lucas_cellpellets_IV34	DmPA_Lucas_cellpellets_IV35	DmPA_Lucas_cellpellets_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
964	18.64349357782068	18.64349357782068	18.64349357782068	18.64349357782068	18.64349357782068	18.64349357782068	20.96541885423322	18.64349357782068	18.64349357782068	18.64349357782068	18.64349357782068	18.64349357782068	F8816	259.2383	371.11	610	0.3434363961379139	0.34343639613791654		0.42264973081037494		0.42264973081037494
965	20.136897928288608	24.68656815476149	20.136897928288608	24.513575208107763	20.136897928288608	20.136897928288608	20.136897928288608	24.10754439120777	26.108744298288304	24.309827504978163	20.136897928288608	20.136897928288608	F8858	335.2325	370.46	31465	0.5737357503313615	0.5205926741946676	0.974739790340581	0.48243807638743547	0.979453314573494	0.4412024568070543
966	15.77400006787956	21.966999114591424	15.77400006787956	21.831806190476467	15.77400006787956	15.77400006787956	15.77400006787956	21.960702317067536	21.964846597465307	21.62340035328097	15.77400006787956	15.77400006787956	F8860	335.2325	412.08	81	0.620308774356393	0.5813358968392908	0.981442391094019	0.5189230915353867	0.9882968097832924	0.4861849303691799
967	20.72647763596304	23.04840506561837	20.72647763596304	20.72647763596304	20.72647763596304	20.72647763596304	20.72647763596304	20.72647763596304	20.72647763596304	23.23633816185586	20.72647763596304	20.72647763596304	F8861	335.2325	425.08	443	0.9595469636403209	0.9595469636403187	0.4226497308103736	0.42264973081037494	0.42264973081037494	0.4226497308103736
968	22.34655539835809	24.95848449736576	22.34655539835809	22.34655539835809	22.34655539835809	22.34655539835809	22.34655539835809	22.34655539835809	22.34655539835809	24.668483276833577	22.34655539835809	22.34655539835809	F8862	335.2325	449.64	32	0.938954655181041	0.9389546551810426	0.42264973081037494	0.4226497308103737	0.4226497308103737	0.42264973081037494
969	19.701247155497544	22.23908066415417	19.701247155497544	19.701247155497544	19.701247155497544	19.701247155497544	19.701247155497544	19.701247155497544	19.701247155497544	22.02317389644813	19.701247155497544	19.701247155497544	F8863	335.2325	464.21	124	0.9538086488059905	0.9538086488059898	0.42264973081037316	0.42264973081037494	0.42264973081037494	0.42264973081037316
970	21.547088315573067	24.08751859036333	21.547088315573067	21.547088315573067	21.547088315573067	21.547088315573067	21.547088315573067	21.547088315573067	21.547088315573067	23.869016033804613	21.547088315573067	21.547088315573067	F8864	335.2325	464.74	128	0.9532798350712959	0.9532798350712994	0.4226497308103754	0.4226497308103758	0.4226497308103758	0.4226497308103754
971	15.380233198743955	17.702134231807268	15.380233198743955	21.64057972376872	15.380233198743955	15.380233198743955	15.380233198743955	21.163163705480876	20.85440087364097	18.04704718675573	15.380233198743955	15.380233198743955	F8865	335.2325	555.61	156	0.5904053911408803	0.6385792495948188	0.6376852152647214	0.2498772169651715	0.6035875260881963	0.26634421738811115
972	17.25030471277097	17.25030471277097	19.572225404679845	20.419877045559595	17.25030471277097	17.25030471277097	17.25030471277097	17.25030471277097	17.25030471277097	17.25030471277097	17.25030471277097	17.25030471277097	F8866	288.0724	395.41	362	0.1734886944106039	0.8246189289091936	0.4226497308103746	0.4226497308103754	0.8406534758382876	
973	24.9083768602806	16.85793696139727	24.537606096275752	16.85793696139727	24.13641539328119	23.492921540875443	23.79313957270587	16.85793696139727	19.42906305765772	16.85793696139727	23.718323664495276	20.32794495587938	F8869	335.2343	370.59	25293	0.46249113924276175	0.9397880431010541	0.7162596873775824	0.5673019136483545	0.871398069122389	0.9273957495413024
