	DmPA_Lucas_cellmedia_IV4	DmPA_Lucas_cellmedia_IV5	DmPA_Lucas_cellmedia_IV6	DmPA_Lucas_cellmedia_IV10	DmPA_Lucas_cellmedia_IV11	DmPA_Lucas_cellmedia_IV12	DmPA_Lucas_cellmedia_IV22	DmPA_Lucas_cellmedia_IV23	DmPA_Lucas_cellmedia_IV24	DmPA_Lucas_cellmedia_IV34	DmPA_Lucas_cellmedia_IV35	DmPA_Lucas_cellmedia_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko	name	ion_relation	isotopologue
392	22.076065233105933	21.41789622780249	22.399773124940232	23.8314977620194	24.09260919069255	24.04570975988551	21.763844487562665	21.970220910065244	21.55454138119359	24.231537761322773	24.312551850645885	24.47120063855168	F21858	358.1267	413.0	9	0.6942814545802902	4.66854829504475e-07	0.0318120177952227	0.5701053607188954	0.0144563778416507	0.0002171744653397	Isocitrate_dmpa*1	+	m+13C*5
393	22.076065233105933	21.41789622780249	22.399773124940232	23.8314977620194	24.09260919069255	24.04570975988551	21.763844487562665	21.970220910065244	21.55454138119359	24.231537761322773	24.312551850645885	24.47120063855168	F21858	358.1267	413.0	9	0.6942814545802902	4.66854829504475e-07	0.0318120177952227	0.5701053607188954	0.0144563778416507	0.0002171744653397	Citrate_dmpa*1	+	m+13C*5
394	22.769600972519484	20.90092051691005	24.046461187949205	22.27795559511385	21.17155420680464	23.60985895011852	23.04857633609325	23.716814298897287	20.383330700165768	23.75356307095114	23.72251548902467	23.70434750206766	F21859	358.1267	416.55	7	0.4620394932606462	0.4842047983174825	0.1906022172220661	0.8966281524597852	0.8591290274082667	0.3176984502594674	Isocitrate_dmpa*1	+	m+13C*5
395	22.769600972519484	20.90092051691005	24.046461187949205	22.27795559511385	21.17155420680464	23.60985895011852	23.04857633609325	23.716814298897287	20.383330700165768	23.75356307095114	23.72251548902467	23.70434750206766	F21859	358.1267	416.55	7	0.4620394932606462	0.4842047983174825	0.1906022172220661	0.8966281524597852	0.8591290274082667	0.3176984502594674	Citrate_dmpa*1	+	m+13C*5
396	23.090107531803174	19.722588654285484	23.773010038876567	19.722588654285484	19.722588654285484	19.722588654285484	23.78071659476933	23.93294500449815	22.044515415117186	22.78289849594423	23.309895464043134	19.722588654285484	F21932	358.1524	475.51	2322	0.0904399766499063	0.0559159544653909	0.1860571050420522	0.5042958797643895	0.1869415723735118	0.3756360038096752	cis-Aconitate_dmpa*1	NH4+	m+13C*5
397	22.173448216301644	22.2292288172186	18.98651650960661	21.308442382443715	18.98651650960661	22.17841934822354	22.10770762942325	22.64228548088733	22.596644605461123	22.31395154454509	22.320499535350507	22.72394211144637	F22053	288.1441	371.24	15	0.0601075123975839	0.8309740322685405	0.2278231576663532	0.3430490023698873	0.8419580592174722	0.9865811861279468	S-Acetyldihydrolipoamide	ACN+	m+13C*10
398	21.70037840045364	17.044698129782233	22.04787111975353	17.044698129782233	17.044698129782233	17.044698129782233	22.398266255991743	21.66955343306856	17.044698129782233	22.005345382505183	21.76982614373032	19.36661768776542	F22551	359.1335	411.03	91	0.1581855027563515	0.3657116300689815	0.04161599777497	0.9656746945292608	0.1840313089346298	0.7427343826151528	Isocitrate_dmpa*1	H+	m+13C*5
399	21.70037840045364	17.044698129782233	22.04787111975353	17.044698129782233	17.044698129782233	17.044698129782233	22.398266255991743	21.66955343306856	17.044698129782233	22.005345382505183	21.76982614373032	19.36661768776542	F22551	359.1335	411.03	91	0.1581855027563515	0.3657116300689815	0.04161599777497	0.9656746945292608	0.1840313089346298	0.7427343826151528	Citrate_dmpa*1	H+	m+13C*5
400	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	F22552	359.1335	420.22	32	0.8184085382517803	0.0629025079899389	1.0	1.0	1.0	1.0	Isocitrate_dmpa*1	H+	m+13C*5
401	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	14.976816694708315	F22552	359.1335	420.22	32	0.8184085382517803	0.0629025079899389	1.0	1.0	1.0	1.0	Citrate_dmpa*1	H+	m+13C*5
